,CCN,AverageAge,PctgAge18,PctgAge18t64,PctgAge64,PctgBlack,PctgHispanic,PctgFemale,Network,Name,City,StateCode,PctgCalciumUncorrected102,AvgCalciumUncorrected,AvgSerumPhosphorous,PctgSerumPhosphorous70,PctgFistula,PctgCatheterOnly90,TotalPatients,PctgMedicare,PctgMedicarePending,PctgNonMedicare,ComplianceStatus,ProfitStatus,ChainOwner,EveningShift,DialyzerReuse,TotalStations,TotalStaff,SRR,PctgFluVaccine,AvgHemoglobin,PctgHemoglobin10,PctgHemoglobin10t11,PctgHemoglobin11t12,PctgHemoglobin12,PctgESAPrescribed,AvgUFR,PctgUFRLE13,PctgUFRGT13,AvgKtV,PctgKtV12,PctgKtV12t18,PctgKtV18,PctgKtVOther,ZipCode,PctgBlackACS,PctgHispanicACS,UnemploymentRate,PctgFamilyBelowFPL,PctgPoorEnglish,HospitalAffiliation,State,Region,Division,Urbanicity,Urbanicity2,YearsInOps
0,12500,57.89622642,0,69.81132076,30.18867925,89.62264151,0.943396226,62.26415094,8,FMC CAPITOL CITY,MONTGOMERY,AL,0.803858521,8.846782178,5.306803798,14.03238242,47.26291442,9.946029298,133,52.25225225,0,47.74774775,Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,34,20,0.94524015,68.05555556,10.82003271,23.47266881,28.45659164,29.90353698,16.47909968,60.04823151,6.868810029,85.69131833,7.234726688,1.667854218,1.125401929,66.15755627,30.8681672,1.848874598,36104,79.5,1,5.7,42.6,0.2,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,40.33210812
1,12501,59.56097561,0,73.17073171,26.82926829,60.97560976,2.43902439,48.78048781,8,GADSDEN DIALYSIS,GADSDEN,AL,1.028806584,8.786741573,5.569076305,15.99264706,51.10294118,11.39705882,80,70.21276596,0,29.78723404,Not Compliant,For Profit,Other Chains,No Evening Shift,Dialyzer Reuse,24,12,1.133493496,82.75862069,10.70695067,23.66255144,28.39506173,26.74897119,12.96296296,77.16049383,7.559369116,74.69135803,10.28806584,1.474896074,3.253796095,81.12798265,9.544468547,6.073752712,35901,30.9,3.9,3.3,17,3.1,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,40.33210812
2,12502,58.88118812,0,68.31683168,31.68316832,83.16831683,1.98019802,45.54455446,8,TUSCALOOSA UNIVERSITY DIALYSIS,TUSCALOOSA,AL,0.841750842,8.677018634,5.452885444,15.70850202,48.47986853,7.723911257,150,74.76635514,0,25.23364486,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,24,15,1.322441157,86.25,10.61091234,24.83164983,34.93265993,24.57912458,9.764309764,81.9023569,8.960886761,72.90598291,14.35897436,1.434689469,1.212121212,90.73593074,4.242424242,3.80952381,35401,50.2,2.6,6.3,23.8,2.7,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,39.19587671
3,12505,58.31168831,0,67.53246753,32.46753247,87.01298701,1.298701299,46.75324675,8,PCD MONTGOMERY,MONTGOMERY,AL,1.51187905,8.760592755,5.111758242,9.646302251,52.88888889,7.407407407,111,75.94936709,0,24.05063291,Not Compliant,For Profit,DaVita,No Evening Shift,Dialyzer Reuse,18,13,0.786653645,75.38461539,10.74758772,18.46652268,37.47300216,33.8012959,8.747300216,88.66090713,7.691097613,84.63949843,10.65830721,1.532289157,0.841750842,87.37373737,9.595959596,2.188552189,36106,46.9,1.8,1.5,14.4,3.6,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,39.04802973
4,12506,60.33823529,0,57.35294118,42.64705882,44.11764706,2.941176471,47.05882353,8,DOTHAN DIALYSIS,DOTHAN,AL,0.822561692,8.69749059,5.413806452,14.09638554,59.45558739,1.146131805,102,78.78787879,0,21.21212121,Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,27,11,0.879016382,83.33333333,10.70854271,18.33137485,35.84018801,31.02232668,8.343125734,87.07403055,8.167411156,71.23893805,15.04424779,1.490753065,2.364864865,85.97972973,8.108108108,3.547297297,36305,11.6,3.7,3.2,7.1,1.7,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,39.09183625
5,12507,60.89108911,0,52.47524753,47.52475248,86.13861386,0.99009901,39.6039604,8,FMC MOBILE,MOBILE,AL,0.503355705,8.907516892,5.452678571,17.66129032,55.56451613,3.790322581,134,60,0,40,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,24,18,0.572973285,72.46376812,10.92025317,18.79194631,33.6409396,32.38255034,14.59731544,72.39932886,6.946788297,90.26845638,6.711409396,1.705272256,1.025641026,57.09401709,40.76923077,1.111111111,36607,63.7,0.9,6.4,21.5,0.6,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,37.99119763
6,12508,56.84146342,0,75.6097561,24.3902439,82.92682927,2.43902439,48.78048781,8,BIRMINGHAM EAST DIALYSIS,BIRMINGHAM,AL,0.57208238,8.553056235,5.818045977,20.27600849,55.20169851,10.40339703,131,71.76470588,0,28.23529412,Not Compliant,For Profit,Other Chains,No Evening Shift,No Dialyzer Reuse,20,15,1.014859701,69.09090909,10.48855055,26.77345538,35.2402746,27.00228833,4.919908467,87.75743707,9.342521991,68.99313501,16.13272311,1.449140329,1.696969697,88.24242424,5.939393939,4.121212121,35235,54.8,3.2,3.8,7.8,1.4,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,37.5120639
7,12509,59.88333333,0,70,30,71.66666667,0,51.66666667,8,FMC NORTH ALABAMA,HUNTSVILLE,AL,2.53164557,9.212663756,5.322971114,13.64238411,57.21854305,12.58278146,111,44.61538462,0,55.38461539,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,22,13,1.081565316,71.11111111,10.68803419,25.03516174,32.3488045,28.69198312,12.65822785,66.38537271,8.232152174,80.45007032,12.09563994,1.801145038,2.215657312,53.47119646,41.06351551,3.249630724,35801,11.8,2.2,3.3,8,0.8,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,37.46278158
8,12512,58.47692308,0,69.23076923,30.76923077,81.53846154,0,40,8,FMC SELMA,SELMA,AL,0,8.729916898,5.156965517,12.14188267,52.16763006,6.936416185,93,53.42465753,0,46.57534247,Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,26,14,1.068233497,66,10.69671233,22.43502052,33.92612859,31.32694938,12.1751026,64.56908345,7.27315582,87.9204893,8.103975535,1.643138564,3.953871499,63.59143328,31.13673806,1.317957166,36701,64.7,1,6.1,26.6,0.3,Non-Hospital Facilities,Alabama,South,East South Central,Micropolitan,Rural,36.35119133
9,12513,59.57627119,0,62.71186441,37.28813559,69.49152542,0,49.15254237,8,FMC LANGDALE,VALLEY,AL,2.646239554,9.000573888,5.344382802,12.14188267,93.58799454,1.909959072,73,80.32786885,0,19.67213115,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,19,9,0.681086877,82.22222222,11.06876751,18.80222841,25.34818942,35.51532033,19.77715877,59.47075209,6.880921757,90.52924791,4.456824513,1.760373563,2.08913649,50.55710306,44.28969359,3.064066852,36854,27,0.2,3.2,10.3,1.1,Non-Hospital Facilities,Alabama,South,East South Central,Micropolitan,Rural,35.88300923
10,12515,58.62162162,0,63.06306306,36.93693694,72.07207207,0.900900901,42.34234234,8,FMC OPELIKA,OPELIKA,AL,2.194357367,8.840851735,5.352580404,12.07153502,87.82924614,1.089918256,153,73.04347826,0,26.95652174,Not Compliant,For Profit,FMC,No Evening Shift,No Dialyzer Reuse,31,23,0.929273186,79.06976744,11.12765122,15.43887147,28.68338558,34.95297806,20.68965517,62.14733542,8.200946854,84.81724461,11.80880975,1.696233522,1.594746717,63.69606004,34.33395872,0.375234522,36801,42.7,4.1,3.9,18.6,3.9,Non-Hospital Facilities,Alabama,South,East South Central,Metropolitan,Urban,34.31692643
